Tweet_count,Username,text,date,Retweets,Likes,clean_text,predicted_sentiment
15,Ryan Selkis (d/acc) 🇺🇸,"@BrantlyMillegan I think ETH and SOL are too similar, though. Which is why I'm in camps #1 or #2. Tiebreaker against ETH may have been the PoS switcheroo.",Fri Jan 24 21:20:10 +0000 2025,0,6,brantlymillegan think eth sol similar im camps 1 2 tiebreaker eth pos switcheroo,neutral
16,toly 🇺🇸,"@FigoETH &gt; Solana on the other side also doesn't have enough scalability (Trump crashed network, one single usecase; only 2k tps possible rn)

Bugs != lack of scalability. 

jito had a bug, and the scheduler had a bug.  engage the frontal cortex pls",Fri Jan 24 18:03:05 +0000 2025,0,12,figoeth gt solana doesnt scalability trump crashed network single usecase 2k tps possible rn bugs lack scalability jito bug scheduler bug engage frontal cortex pls,neutral
17,Ryan Selkis (d/acc) 🇺🇸,"Frauds misinterpret my thoughts on the SBR and new crypto rules.

1. XRP isn't a security (Safe Harbor)
2. ETH Gud. SOL Gud. Not reserve assets, tho!
3. BTC is unique as a reserve.

If 47 disagrees, I won't be offended. But I'll also know I can't really be of much help anymore.",Fri Jan 24 17:02:46 +0000 2025,18,189,frauds misinterpret thoughts sbr new crypto rules 1 xrp isnt security safe harbor 2 eth gud sol gud reserve assets tho 3 btc unique reserve 47 disagrees wont offended ill know really help anymore,neutral
18,toly 🇺🇸,"@redacted_noah @portport255 @TrustlessState @bw_solana @AltcoinAssasin A single fee market saturating the chain causes an effective qos failure for all the other users.  So to a user that’s expecting 0.01 fees from their non defi app, it’s an effective liveness failure.  No good.  Isolation failed.",Fri Jan 24 16:11:07 +0000 2025,0,2,redactednoah portport255 trustlessstate bwsolana altcoinassasin single fee market saturating chain causes effective qos failure users user thats expecting 001 fees non defi app effective liveness failure good isolation failed,neutral
19,toly 🇺🇸,"@TrustlessState @bw_solana @AltcoinAssasin But in that state, the fee market became global instead of local. So a single app saturated the whole chain. That is the current state across all the L2s and ethereum L1.  So are they down 100% of the time then?",Fri Jan 24 15:52:38 +0000 2025,0,6,trustlessstate bwsolana altcoinassasin state fee market global instead local single app saturated chain current state l2s ethereum l1 100 time,neutral
20,toly 🇺🇸,"@TrustlessState @bw_solana @AltcoinAssasin Sure.  Solana was down for the majority of users, fix incoming asap.",Fri Jan 24 15:47:35 +0000 2025,1,13,trustlessstate bwsolana altcoinassasin sure solana majority users fix incoming asap,neutral
21,toly 🇺🇸,"@TrustlessState @bw_solana @AltcoinAssasin When they block all other txs, but on their own it’s ok.",Fri Jan 24 15:46:59 +0000 2025,0,2,trustlessstate bwsolana altcoinassasin block txs ok,neutral
22,toly 🇺🇸,@TrustlessState @bw_solana @AltcoinAssasin Yes!  It’s super high priority to fix asap.,Fri Jan 24 15:45:49 +0000 2025,0,6,trustlessstate bwsolana altcoinassasin yes super high priority fix asap,neutral
23,toly 🇺🇸,"@bw_solana @TrustlessState @AltcoinAssasin High paying txs still landed without issues.  A bunch of wallets just weren’t setup to deal with fee spikes, they are now.",Fri Jan 24 15:44:12 +0000 2025,0,2,bwsolana trustlessstate altcoinassasin high paying txs landed issues bunch wallets just werent setup deal fee spikes,neutral
24,toly 🇺🇸,"@0xUsamaro @mdudas &gt; i was just pointing to the diverse successful financial apps building on ETH that shouldn’t be forgotten when it comes to its valuation

Why? If those apps do nothing for eth value capture, why do they matter?",Fri Jan 24 13:54:32 +0000 2025,0,1,0xusamaro mdudas gt just pointing diverse successful financial apps building eth shouldnt forgotten comes valuation apps eth value capture matter,neutral
25,toly 🇺🇸,@TrustlessState @ShivanshuMadan .@jito_sol bug causes fees to spike. Otherwise it mostly worked ok.,Fri Jan 24 13:44:31 +0000 2025,0,6,trustlessstate shivanshumadan jitosol bug causes fees spike worked ok,neutral
26,Ryan Selkis (d/acc) 🇺🇸,"In 16 years, BTC has grown to $2 trillion. It’s 60% of the market ex-USD.

Blockspace is commoditized, ETH isn’t special. Its share keeps ticking lower vs peers like SOL.

Adding non-BTC assets to a reserve would be grifty, amateurish, and hurt the USD. Better off with nothing.",Fri Jan 24 03:24:05 +0000 2025,35,645,16 years btc grown 2 trillion 60 market exusd blockspace commoditized eth isnt special share keeps ticking lower vs peers like sol adding nonbtc assets reserve grifty amateurish hurt usd better,neutral
27,Ryan Selkis (d/acc) 🇺🇸,"Buying BTC would be like adding digital gold to the US treasury and it could be bundled with new types of bonds.

Buying ETH would be like adding Samsung, SOL like Apple. Good assets maybe, but for a sovereign wealth fund, not a Treasury reserve.

Buying XRP would be fiscal AIDS.",Fri Jan 24 00:49:03 +0000 2025,168,2389,buying btc like adding digital gold treasury bundled new types bonds buying eth like adding samsung sol like apple good assets maybe sovereign wealth fund treasury reserve buying xrp fiscal aids,neutral
28,raj 🖤,"advice from YC, but 100% applies to teams building on solana as well https://t.co/tR2lCBoWrv",Thu Jan 23 23:41:18 +0000 2025,57,431,advice yc 100 applies teams building solana httpstcotr2lcbowrv,neutral
29,toly 🇺🇸,"@uriklarman @trentdotsol @MaxResnick1 @paladin_solana @0xMert_ Just an observation.  Slippage is application specific, not sure how to model it correctly to create a better scheduler. Maybe priority ordering + apps dynamic pricing could work like @MaxResnick1 suggested",Thu Jan 23 16:43:38 +0000 2025,0,3,uriklarman trentdotsol maxresnick1 paladinsolana 0xmert just observation slippage application specific sure model correctly create better scheduler maybe priority ordering apps dynamic pricing work like maxresnick1 suggested,neutral
30,toly 🇺🇸,@uriklarman @trentdotsol @MaxResnick1 @paladin_solana @0xMert_ DeFi priority fees have little to do with contention and everything to do with slippage and volatility,Thu Jan 23 16:37:26 +0000 2025,0,2,uriklarman trentdotsol maxresnick1 paladinsolana 0xmert defi priority fees little contention slippage volatility,neutral
31,toly 🇺🇸,Solana is for everyone,Thu Jan 23 15:55:54 +0000 2025,72,711,solana,neutral
32,toly 🇺🇸,"@uriklarman @trentdotsol @MaxResnick1 @paladin_solana Priority fees are basically paying only to get into the block before slippage is exceeded.  It’s not even write saturation on the state, it’s contention with how much the state changes.",Thu Jan 23 14:13:04 +0000 2025,0,1,uriklarman trentdotsol maxresnick1 paladinsolana priority fees basically paying block slippage exceeded write saturation state contention state changes,neutral
33,Kyle Samani,"3/ Specifically, the post tackles TAM and value capture, and most importantly, describes how Solana DeFi can beat TradFi at its own game on core performance metrics such as latency and spreads

Cheers!

{fin}",Wed Jan 22 17:23:12 +0000 2025,2,99,3 specifically post tackles tam value capture importantly describes solana defi beat tradfi game core performance metrics latency spreads cheers fin,positive
34,Kyle Samani,"2/ Solana is now a $100B asset. Market cap is like gravity. The higher it is, the higher everyone's expectations should be

The essay shares how we underwrite holding SOL north of $100B",Wed Jan 22 17:23:11 +0000 2025,4,105,2 solana 100b asset market cap like gravity higher higher everyones expectations essay shares underwrite holding sol north 100b,neutral
35,Kyle Samani,"0/ @multicoincap has been investing in SOL since May 2018

In that time, we have published 4 theses to share our views on how we think about Solana

Today I'm excited to share the 5th in that series:

The Solana Thesis: Internet Capital Markets

(link in next tweet) https://t.co/b0L9Y9qj6m",Wed Jan 22 17:23:11 +0000 2025,167,981,0 multicoincap investing sol 2018 time published 4 theses share views think solana today im excited share 5th series solana thesis internet capital markets link tweet httpstcob0l9y9qj6m,neutral
36,Kyle Samani,@0xMert_ Justin Drake coined the term monolithic in the context of solana with specific pejorative intention,Wed Jan 22 14:44:17 +0000 2025,0,10,0xmert justin drake coined term monolithic context solana specific pejorative intention,neutral
37,Tushar Jain,This is a succinct explanation of why excessively high SOL inflation crowds out other forms of financing activity in Solana DeFi.,Wed Jan 22 03:01:47 +0000 2025,20,93,succinct explanation excessively high sol inflation crowds forms financing activity solana defi,positive
38,Kyle Samani,"Ethereum was my entry into crypto in 2016. I fell in love with the vision for permissionless finance and smart contracts. 

ETH was my first meaningful source of wealth

In 2017 Ethereum was the center of crypto. Up 100x in a year. ICOs. Future of finance. Gas fees spiking.",Tue Jan 21 23:09:07 +0000 2025,187,2147,ethereum entry crypto 2016 fell love vision permissionless finance smart contracts eth meaningful source wealth 2017 ethereum center crypto 100x year icos future finance gas fees spiking,positive
39,toly 🇺🇸,@koeppelmann @svantetobias Solana is Monet! https://t.co/BiAxJrbNij,Tue Jan 21 19:59:48 +0000 2025,0,4,koeppelmann svantetobias solana monet httpstcobiaxjrbnij,neutral
40,Kyle Samani,@zachxbt @Iam_Polycarp @MickiCrossChain What’s your solana address,Tue Jan 21 14:02:25 +0000 2025,0,12,zachxbt iampolycarp mickicrosschain whats solana address,neutral
41,toly 🇺🇸,Fixed before all the solana needs L2 posts,Mon Jan 20 01:57:44 +0000 2025,29,527,fixed solana needs l2 posts,neutral
42,Ryan Selkis (d/acc) 🇺🇸,@nanye_eth You’re welcome. I’ve done more this year for Ethereum than anyone since Vitalik.,Mon Jan 20 00:01:22 +0000 2025,0,1,nanyeeth youre welcome ive year ethereum vitalik,positive
43,Tushar Jain,"@7LayerMagik @smyyguy It could be interesting to explore tranche commissions for validators. For example, the first 1% APY of fees+inflation go to the validator and the rest go to the staker.

I think that would need to be a separate proposal though. We don't want Solana governance to be like US",Sun Jan 19 16:21:29 +0000 2025,0,0,7layermagik smyyguy interesting explore tranche commissions validators example 1 apy feesinflation validator rest staker think need separate proposal dont want solana governance like,positive
44,Tushar Jain,Solana is overpaying for security. We don't need SOL inflation to be this high. The current SOL inflation curve was set by fiat at the start of the network and it no longer makes sense. It's time to move to a market based mechanism to set (and lower) inflation.,Sun Jan 19 16:03:09 +0000 2025,12,183,solana overpaying security dont need sol inflation high current sol inflation curve set fiat start network longer makes sense time market based mechanism set lower inflation,neutral
45,Kyle Samani,"@balajis Very myopic view

First step to doing anything in the world is to garner attention

All eyes on solana now",Sun Jan 19 15:02:06 +0000 2025,0,13,balajis myopic view step doing world garner attention eyes solana,neutral
46,Chris Burniske,"@pokerchessman Solana is going to be taken to its limit, Firedancer can't come fast enough",Sun Jan 19 06:12:09 +0000 2025,0,19,pokerchessman solana going taken limit firedancer come fast,neutral
47,Tushar Jain,"Solana went from outages anytime there was a big spike in demand to handling the highest volume onchain trading day on any chain ever.

Memecoins are how we stress test the rails for more socially valuable capital markets.",Sun Jan 19 01:09:27 +0000 2025,89,815,solana went outages anytime big spike demand handling highest volume onchain trading day chain memecoins stress test rails socially valuable capital markets,positive
48,Kyle Samani,@_ryanrconnor ETH people,Sat Jan 18 22:21:44 +0000 2025,0,3,ryanrconnor eth people,neutral
49,Kyle Samani,@0x_ultra What can you do on Ethereum that you can’t do on Solana?,Sat Jan 18 22:21:25 +0000 2025,0,20,0xultra ethereum solana,neutral
50,Kyle Samani,"@jarxiao Strongly disagree

Step one to value creation is garnering attention

All eyes on solana memecoins now",Sat Jan 18 16:23:40 +0000 2025,1,69,jarxiao strongly disagree step value creation garnering attention eyes solana memecoins,neutral
51,Chris Burniske,"The incoming President just gave everyone license to launch a memecoin - $SOL is getting the message, buckle up. https://t.co/ZURQfsh8QI",Sat Jan 18 06:39:44 +0000 2025,154,1614,incoming president just gave license launch memecoin sol getting message buckle httpstcozurqfsh8qi,neutral
52,toly 🇺🇸,I am the nCMO of @Solana,Fri Jan 17 17:58:14 +0000 2025,61,535,ncmo solana,neutral
53,toly 🇺🇸,@mteamisloading @wagmiAlexander @smyyguy does lido rev include eth inflation rewards?  I don’t think jito’s does.,Fri Jan 17 16:37:49 +0000 2025,0,0,mteamisloading wagmialexander smyyguy does lido rev include eth inflation rewards dont think jitos does,neutral
54,toly 🇺🇸,"@mteamisloading @wagmiAlexander Then 🤷‍♂️.  The internet is for cats.  The previous meme meta was NFTs, now it’s memecoins.  Hopefully solana will capture the next meme meta as well.",Fri Jan 17 16:20:30 +0000 2025,0,8,mteamisloading wagmialexander internet cats previous meme meta nfts memecoins hopefully solana capture meme meta,neutral
55,toly 🇺🇸,"Solana is the first blockchain to hit pi block9 🥧🥧🥧

https://t.co/NiKylcYIyk",Fri Jan 17 04:05:57 +0000 2025,114,1165,solana blockchain hit pi block9 httpstconikylcyiyk,neutral
56,Ryan Selkis (d/acc) 🇺🇸,"@JackGavigan Could grandfather in ETH and apply on a forward looking basis only.

Or you could hold ETH to token rules, which only applies to major holders, so doesn’t matter.

I just think the commodity thing is confusing and misses the point.",Thu Jan 16 21:08:13 +0000 2025,0,1,jackgavigan grandfather eth apply forward looking basis hold eth token rules applies major holders doesnt matter just think commodity thing confusing misses point,neutral
57,Kyle Samani,"Step 1) reduce SOL inflation

Step 2) long term staking

LFG",Thu Jan 16 17:55:50 +0000 2025,18,303,step 1 reduce sol inflation step 2 long term staking lfg,neutral
58,Tushar Jain,"Today @kankanivishal and I released a Solana Improvement Proposal to reduce Solana inflation. 

As Solana matures, stakers increasingly earn SOL through mechanisms like MEV. This income stream reduces the network's historical exclusive reliance on token emissions to attract stake",Thu Jan 16 17:23:06 +0000 2025,46,427,today kankanivishal released solana improvement proposal reduce solana inflation solana matures stakers increasingly earn sol mechanisms like mev income stream reduces networks historical exclusive reliance token emissions attract stake,neutral
59,Kyle Samani,Solana leading the pack,Thu Jan 16 02:22:40 +0000 2025,8,145,solana leading pack,neutral
60,Chris Burniske,"@Youclidean @AriDavidPaul note that I'm specifically talking about the majors here, which only BTC, ETH and SOL qualify as imo - there is a lot of hot air that needs to be decompressed to reality, and when BTC pulls back 50% we could see those things go down 95%+",Wed Jan 15 18:34:07 +0000 2025,0,19,youclidean aridavidpaul note im specifically talking majors btc eth sol qualify imo lot hot air needs decompressed reality btc pulls 50 things 95,neutral
61,Chris Burniske,"@drjasper_eth If you can read you'll see I explicitly warn against an ""up only"" mentality",Wed Jan 15 18:32:19 +0000 2025,0,14,drjaspereth read youll explicitly warn mentality,positive
62,toly 🇺🇸,@llamaonthebrink @smyyguy You can push a message from eth to solana through wormhole. The same honest majority risk exists of it landing as the one using the OP stack today.,Wed Jan 15 05:37:28 +0000 2025,0,4,llamaonthebrink smyyguy push message eth solana wormhole honest majority risk exists landing using op stack today,neutral
63,Kyle Samani,"@harveymizzle despite all of those things

solana is surpassing ethereum on most on-chain metrics",Wed Jan 15 05:37:21 +0000 2025,0,2,harveymizzle despite things solana surpassing ethereum onchain metrics,positive
64,toly 🇺🇸,"@portport255 @alexz7371 You can’t use eth vote pipeline for apps.  🙄🙄🙄 this is the same kind of bs that ended up helping solana over the long term. People constantly under estimated solana and assumed ethereum would close the gap within a year, every year for like 5 years at this point.",Wed Jan 15 05:15:06 +0000 2025,0,1,portport255 alexz7371 use eth vote pipeline apps kind bs ended helping solana long term people constantly estimated solana assumed ethereum close gap year year like 5 years point,neutral
65,Chris Burniske,"$BTC worth ~$2T.
$ETH worth ~$400B.
$SOL worth ~$100B. 

These are amazing numbers considering less than 10 years ago $BTC was worth ~$3B. 

Cheer up, future is bright.",Wed Jan 15 00:10:59 +0000 2025,77,1140,btc worth 2t eth worth 400b sol worth 100b amazing numbers considering 10 years ago btc worth 3b cheer future bright,positive
66,Chris Burniske,"@crypto_condom @celestia People said the TIA unlocks would send the asset to zero and they were wrong - it's consolidated since the big unlock in a choppy market. Is it treading water and digesting unlocks? Yes. 

Similarly, SOL may have to digest, but ignoring the demand-side, or failing to estimate",Tue Jan 14 22:23:22 +0000 2025,9,133,cryptocondom celestia people said tia unlocks send asset zero wrong consolidated big unlock choppy market treading water digesting unlocks yes similarly sol digest ignoring demandside failing estimate,negative
67,Santiago R Santos,@luishxyz @inversion_cap @daimo_eth Mobile makes $,Tue Jan 14 14:42:57 +0000 2025,0,0,luishxyz inversioncap daimoeth mobile makes,negative
68,toly 🇺🇸,@portport255 Safety third! Now do eth load without any multisigs.,Tue Jan 14 00:46:37 +0000 2025,0,105,portport255 safety eth load multisigs,neutral
69,toly 🇺🇸,"@colludingnode @drjasper_eth @joaomendoncaaaa @lil_hat_slayer Lmao, Jamie diamond has no idea what open source is.  He is still fudding bitcoin",Tue Jan 14 00:36:40 +0000 2025,0,7,colludingnode drjaspereth joaomendoncaaaa lilhatslayer lmao jamie diamond idea open source fudding bitcoin,neutral
70,toly 🇺🇸,"@materkel @arbitrum @fuel_network @Starknet @dankrad None of the features that would justify the security arguments made it to prod though.  Blobs are the same thing fundamentally as solana.  Design wise, solana basically only has blobs.",Tue Jan 14 00:09:41 +0000 2025,0,7,materkel arbitrum fuelnetwork starknet dankrad features justify security arguments prod blobs thing fundamentally solana design wise solana basically blobs,neutral
71,toly 🇺🇸,"@mteamisloading Disorganized != decentralized.  If you don’t tell your own story someone else will, and it nearly always backfires as a strategy.  

I was arguing with people who specifically fudded solana, because I didn’t want them to tell solana’s story for me.",Mon Jan 13 20:15:33 +0000 2025,1,42,mteamisloading disorganized decentralized dont tell story nearly backfires strategy arguing people specifically fudded solana didnt want tell solanas story,neutral
72,toly 🇺🇸,"FWIW this ended up as a huge net positive for solana. Eth aligned projects AND funds discounted solana’s tech progress as something ethereum would close in a year (every year for like 4 years).  

So while it was harder to bootstrap home grown projects on solana, it ended up a",Mon Jan 13 19:02:03 +0000 2025,14,180,fwiw ended huge net positive solana eth aligned projects funds discounted solanas tech progress ethereum close year year like 4 years harder bootstrap home grown projects solana ended,neutral
73,toly 🇺🇸,"@jarxiao I have a wondrous solution to the read problem in solana, but unfortunately there isn’t enough space in this post to describe it.",Mon Jan 13 18:23:37 +0000 2025,0,10,jarxiao wondrous solution read problem solana unfortunately isnt space post,neutral
74,toly 🇺🇸,@wireframepit .@jito_sol and @paladin_solana and @DFlowProtocol are on it.  Afaik there are no L1 blockers for them to ship.,Mon Jan 13 18:00:31 +0000 2025,1,32,wireframepit jitosol paladinsolana dflowprotocol afaik l1 blockers ship,neutral
75,toly 🇺🇸,"@Evan_ss6 Solana’s marketing is code you can run today in production 

https://t.co/lbbKQrnOp7",Mon Jan 13 17:50:31 +0000 2025,2,44,evanss6 solanas marketing code run today production httpstcolbbkqrnop7,neutral
76,toly 🇺🇸,"So my pov, ethereum is 95% roadmap marketing. 

The merge took forever (1 or 2 years delayed?)

The rollup roadmap took forever as well and over promised and under delivered.  So for about 4 years I was constantly arguing with .eth influencers on this website comparing existing",Mon Jan 13 16:46:18 +0000 2025,91,1292,pov ethereum 95 roadmap marketing merge took forever 1 2 years delayed rollup roadmap took forever promised delivered 4 years constantly arguing eth influencers website comparing existing,neutral
77,toly 🇺🇸,@udiWertheimer I will make eth holders pay for the data validating bridge,Sat Jan 11 23:25:04 +0000 2025,0,16,udiwertheimer make eth holders pay data validating bridge,negative
78,toly 🇺🇸,I want government regulation to be small enough that solana can win against Xrp or cardano or whatever else in the free market.,Sat Jan 11 21:37:51 +0000 2025,20,288,want government regulation small solana win xrp cardano free market,neutral
79,toly 🇺🇸,The solution is right in front of your eyes. Take wETH on solana. Build that data validating bridge Mr Gorbachev. https://t.co/Vf8pFjkdS0,Sat Jan 11 19:56:28 +0000 2025,2,58,solution right eyes weth solana build data validating bridge mr gorbachev httpstcovf8pfjkds0,neutral
80,toly 🇺🇸,@mteamisloading @rachinkalakheti @BSturisky It’s the same as a data validating bridge between eth and solana.  If there is a censorship fault the remote chains hard fork with the view of the bridge.  You get a split.,Sat Jan 11 19:54:25 +0000 2025,1,18,mteamisloading rachinkalakheti bsturisky data validating bridge eth solana censorship fault remote chains hard fork view bridge split,negative
81,toly 🇺🇸,"@nickwh8te Despite my best efforts, I’ve failed to imbue the code with its own agency.  

Users only care about the confirmation from the sequencer.  If there is demand for das light clients there is enough solana startups to make it happen. If there is demand for trust minimized wrapped",Sat Jan 11 19:34:09 +0000 2025,1,25,nickwh8te despite best efforts ive failed imbue code agency users care confirmation sequencer demand das light clients solana startups make happen demand trust minimized wrapped,neutral
82,toly 🇺🇸,"Ethereum will be fine. DA roadmap will actually achieve trust minimized bridging into high tps  sequencers, one of which may eventually end up solana mainnet if the blob capacity will ever be high enough. Blob fees will pay a lot more than the cost to run all boxes on the",Sat Jan 11 19:08:21 +0000 2025,27,292,ethereum fine da roadmap actually achieve trust minimized bridging high tps sequencers eventually end solana mainnet blob capacity high blob fees pay lot cost run boxes,neutral
83,toly 🇺🇸,@chrisdotsol Hell yea! Solana ASIC Addition hopefully.,Sat Jan 11 17:01:00 +0000 2025,0,12,chrisdotsol hell yea solana asic addition hopefully,neutral
84,Chris Burniske,@Ape_31 Heard the same about ETH &amp; SOL once,Fri Jan 10 21:58:57 +0000 2025,0,58,ape31 heard eth amp sol,neutral
85,Chris Burniske,"No one uses it!
Unlocks will kill everyone!
Protocol fees are near zero!
VCs and insiders own too much!

What people say of $TIA now, they once said of $SOL. 

Aside from unlocks, $ETH received echoes of similar criticisms from early $BTC folks.

Without fail, trolls think",Fri Jan 10 21:55:54 +0000 2025,58,752,uses unlocks kill protocol fees near zero vcs insiders people say tia said sol aside unlocks eth received echoes similar criticisms early btc folks fail trolls think,neutral
86,toly 🇺🇸,@NFT_Shooter @jon_charb @JacobArluck The best eth is on solana,Fri Jan 10 20:08:47 +0000 2025,0,2,nftshooter joncharb jacobarluck best eth solana,positive
87,Kyle Samani,@fede_intern @solana I'll take the under on that with up to $100m of size,Fri Jan 10 17:37:07 +0000 2025,0,2,fedeintern solana ill 100m size,neutral
88,Kyle Samani,Solana ecosystem continues to build net-new user experiences,Fri Jan 10 15:57:08 +0000 2025,23,183,solana ecosystem continues build netnew user experiences,negative
89,toly 🇺🇸,@drjasper_eth @0xMert_ The wallets and tg trading bot operators surely realize this and can differentiate on sandwich resistance features and fight for market share.,Fri Jan 10 02:06:13 +0000 2025,0,0,drjaspereth 0xmert wallets tg trading bot operators surely realize differentiate sandwich resistance features fight market share,neutral
90,toly 🇺🇸,@0xMert_ @solreader It’s the sol @garrytan didn’t pass on.,Fri Jan 10 01:49:52 +0000 2025,0,31,0xmert solreader sol garrytan didnt pass,neutral
91,toly 🇺🇸,@IanSNorden @drjasper_eth @0xMert_ That’s been kind of the average,Fri Jan 10 01:46:29 +0000 2025,0,1,iansnorden drjaspereth 0xmert thats kind average,negative
92,toly 🇺🇸,"@drjasper_eth @IanSNorden @0xMert_ Then all the validators will start sandwiching.  Users even have the option to sign txs such that they abort when executed by DN.  So if the users don’t care, they must be getting some benefit from using the slippage effectively as a priority fee.",Fri Jan 10 01:45:14 +0000 2025,0,0,drjaspereth iansnorden 0xmert validators start sandwiching users option sign txs abort executed dn users dont care getting benefit using slippage effectively priority fee,neutral
93,toly 🇺🇸,"@IanSNorden @drjasper_eth @0xMert_ The network doesn’t have a “target”. There is an Eng desire to make sure it works at 10k and 50k, but the rest is up to the market to decide.  There just shouldn’t be any Eng blockers from scaling up.",Fri Jan 10 01:43:37 +0000 2025,0,2,iansnorden drjaspereth 0xmert network doesnt target eng desire make sure works 10k 50k rest market decide just shouldnt eng blockers scaling,neutral
94,toly 🇺🇸,"@drjasper_eth @0xMert_ &gt; This is not a good outcome - the network has centralized. 

Zero additional fault risk for users that run their own full node.  If there is less rewards, there isn’t a need for as many boxes to synchronize.  

If the users aka the wallets and dapps that serve them, don’t change",Fri Jan 10 01:42:07 +0000 2025,0,1,drjaspereth 0xmert gt good outcome network centralized zero additional fault risk users run node rewards isnt need boxes synchronize users aka wallets dapps serve dont change,neutral
95,toly 🇺🇸,@IanSNorden @drjasper_eth @0xMert_ Base fee is more block capacity related.  If block CUs double the base fee should be safe to drop 50%,Fri Jan 10 01:35:16 +0000 2025,0,2,iansnorden drjaspereth 0xmert base fee block capacity related block cus double base fee safe drop 50,neutral
96,toly 🇺🇸,"@drjasper_eth @0xMert_ Because they are.  If a voting validator leaves the quorum, there is now more rewards for everyone else all things being equal.",Fri Jan 10 01:23:44 +0000 2025,0,1,drjaspereth 0xmert voting validator leaves quorum rewards things equal,positive
97,toly 🇺🇸,"@drjasper_eth @0xMert_ 2000 boxes * 350/mo * 12 months is what the network needs to earn to break even.  This happens daily at times.  

Vote fees and inflation is just numbers moving around a block box.  Hardware costs are inescapable.",Fri Jan 10 01:03:30 +0000 2025,0,1,drjaspereth 0xmert 2000 boxes 350mo 12 months network needs earn break happens daily times vote fees inflation just numbers moving block box hardware costs inescapable,neutral
98,toly 🇺🇸,@drjasper_eth @0xMert_ How would other validators become unprofitable?  Current non Jito boxes are profitable even.,Fri Jan 10 00:53:38 +0000 2025,0,1,drjaspereth 0xmert validators unprofitable current non jito boxes profitable,neutral
99,toly 🇺🇸,"The biggest competitor OP_CAT can have isn’t Ethereum, it’s Solana.",Thu Jan 09 23:15:52 +0000 2025,19,107,biggest competitor opcat isnt ethereum solana,neutral
